"","season","region","beta","eta","mu","sigma1","sigma2","kappa"
"485",2011,"Pennsylvania",-5.40850540322757,0.192422837461673,24.0752012608739,2.52110312267179,2.73419103594757,5786.19610244281
"486",2012,"Pennsylvania",-4.96084438633456,0.636871936330519,21.4608125549994,1.39560890519399,2.29120027631965,1587.65013296478
"487",2013,"Pennsylvania",-4.94003737954769,0.329200792044224,21.2634890507139,0.58543495002177,2.55346041404015,2538.76879294451
"488",2014,"Pennsylvania",-4.58655848015945,0.553596843517195,21.231850850937,0.948154729520462,2.13158551898176,1361.31882554133
"489",2015,"Pennsylvania",-4.88765047885237,0.336591664569012,32.0859894691275,2.75373614285421,2.22180136586767,2351.39341810332
"490",2016,"Pennsylvania",-4.948094601379,0.600189811440722,27.043164342478,2.01023183962608,1.9533354632859,2042.32087855012
"491",2017,"Pennsylvania",-5.04726528704464,0.792108636904925,27.1076344385601,1.864087272698,1.822725260348,1446.77062108552
"492",2018,"Pennsylvania",-5.44124050990826,0.715114066727868,29.2963584682882,2.61592668138305,2.11693199886124,4256.08855533417
"493",2019,"Pennsylvania",-5.1630633443331,0.815634774234917,32.4167631129523,2.64633535505637,1.50828303657777,1735.37934715207
"494",2020,"Pennsylvania",-4.92968522296566,-0.223357689535339,17.2131037246904,1.31534592063194,1.39541066070287,9138.04753097279
"495",2021,"Pennsylvania",-4.58995418731795,-0.0281127876335405,23.2079894293878,2.31909255872292,0.192916862584437,2065.04547271724
"496",2022,"Pennsylvania",-4.51914255533356,0.350468840488081,17.3662219029664,1.51084061407854,1.503379221844,2766.62785923526
"497",2010,"Rhode Island",-7.47828106735048,1.26073092011888,22.5069133610553,2.78618979476305,1.89449879890203,449.191266762439
"498",2011,"Rhode Island",-11.6155397540791,1.80691418638834,34.4523451251184,3.56690550063362,2.49969670594413,979.301283781582
"499",2012,"Rhode Island",-7.94651481942087,1.47485566621087,21.8571793714352,1.96042259941532,2.32471717175207,413.230786691612
"500",2013,"Rhode Island",-8.89078016345646,1.50623056269806,35.7350812472822,3.05779083602067,1.8876444064095,635.975114340766
"501",2014,"Rhode Island",-7.2936484364789,1.35141464217537,25.441215255085,1.79796301791362,2.1133689272381,511.672224571871
"502",2015,"Rhode Island",-8.98751426766889,1.57169630311995,35.4810758279569,2.92411970484352,1.63094009348756,1411.09275496109
"503",2016,"Rhode Island",-7.53654510758915,1.41126358810954,34.2444456995444,2.92364150262407,1.4031127044036,279.126718153608
"504",2017,"Rhode Island",-8.04339598794711,1.62687248014366,26.981108333933,2.46784574330897,2.46340605215992,432.828957152958
"505",2018,"Rhode Island",-8.0293933973622,1.63258847568342,29.928331795787,2.64747641779467,2.3143874265581,902.783395117948
"506",2019,"Rhode Island",-6.96303677299277,1.5283878930983,29.1123175488333,2.34316275839993,1.15589807653755,432.946519510533
"507",2020,"Rhode Island",-5.65450444187506,-0.192955961003453,16.0378153906064,1.48194770490999,1.83713936807458,4736.73486766911
"508",2021,"Rhode Island",-5.37755966384673,0.192605642420555,13.165715994784,-1.93223775883764,3.26962640096913,561.548541910311
"509",2022,"Rhode Island",-4.76707995074945,0.807517950730907,19.1635467198407,1.24799316868335,1.0197741824196,1528.70708837925
"510",2010,"South Carolina",-5.84056691539552,1.11766327794338,18.8228061971486,1.53777429051127,1.51319975790016,1257.22540060774
"511",2011,"South Carolina",-6.25393677525931,0.263336619244799,25.6622453379595,1.996440344697,1.9494066522018,2372.12891221005
"512",2012,"South Carolina",-6.81138567242111,1.17466998952441,18.7911090169801,1.49669656054372,2.62830571194473,447.843592278905
"513",2013,"South Carolina",-7.45912728602713,1.28541025250447,21.0117317273814,2.07570685708373,2.29432453450057,1041.03919763012
"514",2014,"South Carolina",-7.5761177419631,1.42268592267534,21.4012798315656,2.10870815594216,2.61828316706341,392.130007486705
"515",2015,"South Carolina",-7.64498500960644,1.28559673062021,33.7944287003327,3.26974223934225,2.12065624485806,472.406306915336
"516",2016,"South Carolina",-7.84106382988461,1.65246764135045,28.7508388123685,2.84038439628081,2.66197493177222,409.458005174806
"517",2017,"South Carolina",-5.28087951613753,1.16673145743862,26.1057524970197,2.36823144312891,1.92545240746326,424.413590701455
