"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"213",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.2,181.356647971734
"214",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.25,200.336949630295
"215",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.3,217.323144816418
"216",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.35,232.665223223106
"217",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.4,247.143707060049
"218",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.45,261.826372231665
"219",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.5,276.51050352933
"220",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.55,290.908893946863
"221",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.6,305.719914122226
"222",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.65,320.659062950051
"223",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.7,336.334206861699
"224",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.75,353.677665126463
"225",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.8,372.487206970325
"226",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.85,394.027799750829
"227",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.9,421.340083869632
"228",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.95,462.594185214402
"229",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.975,497.431286221314
"230",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.99,537.807537811255
"231",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.01,-104.931455281271
"232",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.025,-48.9322582616667
"233",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.05,-3.30088366979075
"234",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.1,52.2556179909427
"235",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.15,88.1270900544157
"236",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.2,116.148215114988
"237",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.25,139.719823540914
"238",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.3,161.710261601809
"239",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.35,182.583393127418
"240",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.4,202.441008659414
"241",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.45,221.499466052483
"242",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.5,239.971214736626
"243",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.55,258.3914054325
"244",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.6,277.058570855299
"245",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.65,296.592609075458
"246",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.7,316.7175362791
"247",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.75,339.25198959914
"248",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.8,363.82219078328
"249",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.85,393.114575486222
"250",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.9,429.438489678919
"251",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.95,483.984302654345
"252",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.975,532.31217549034
"253",2023-12-09,2,"wk inc flu hosp",2023-12-23,"04","quantile",0.99,587.56328914209
"254",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.01,-180.210657091486
"255",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.025,-118.889517391176
"256",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.05,-66.5298036847165
"257",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.1,-6.56963850049025
"258",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.15,35.7546368697268
"259",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.2,69.1355812735539
"260",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.25,97.0131708148643
"261",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.3,121.871079668801
"262",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.35,145.03369267299
"263",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.4,166.726643260915
"264",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.45,188.794733302278
"265",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.5,210.889712626899
"266",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.55,232.5763324661
"267",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.6,254.082178146444
"268",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.65,276.515082852944
"269",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.7,300.25539199017
"270",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.75,325.719580884441
"271",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.8,353.421523687236
"272",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.85,385.88940951782
"273",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.9,428.483878585762
"274",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.95,488.06404820167
"275",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.975,543.369153790451
"276",2023-12-09,3,"wk inc flu hosp",2023-12-30,"04","quantile",0.99,605.145772924682
"277",2023-12-09,0,"wk inc flu hosp",2023-12-09,"05","quantile",0.01,-79.2952520415589
"278",2023-12-09,0,"wk inc flu hosp",2023-12-09,"05","quantile",0.025,-66.7047110748892
"279",2023-12-09,0,"wk inc flu hosp",2023-12-09,"05","quantile",0.05,-55.8144764989738
"280",2023-12-09,0,"wk inc flu hosp",2023-12-09,"05","quantile",0.1,-43.9697814744714
